"","total employment","unincorporated self-employment","unincorporated self-employment rate","unemployment rate"
"","number","number","percent","percent"
"1989","14,886,342","1,253,251","8.4","7.5"
"1990","15,107,991","1,275,997","8.5","8.1"
"1991","15,230,934","1,289,131","8.5","10.3"
"1992","14,811,621","1,354,724","9.2","11.2"
"1993","14,778,081","1,429,147","9.7","11.4"
"1994","14,975,552","1,523,023","10.2","10.4"
"1995","15,200,903","1,584,271","10.4","9.5"
"1996","15,444,650","1,661,205","10.8","9.6"
"1997","15,944,935","1,742,560","10.9","9.1"
"1998","16,389,524","1,787,556","10.9","8.3"
"1999","16,965,259","1,812,484","10.7","7.6"
"2000","17,534,623","1,818,757","10.4","6.8"
"2001","17,876,523","1,834,968","10.3","7.2"
"2002","18,020,742","1,844,769","10.2","7.7"
"2003","18,478,410","1,873,082","10.1","7.6"
"2004","18,689,067","1,880,239","10.1","7.2"
"2005","18,889,743","1,917,719","10.2","6.8"
"2006","19,021,639","1,921,756","10.1","6.3"
"2007","19,465,433","1,972,510","10.1","6.0"
"2008","19,726,554","1,977,448","10.0","6.1"
"2009","19,475,125","1,971,929","10.1","8.3"
"2010","19,598,520","2,014,098","10.3","8.1"
"annual average","17,114,190","1,715,483","10.0","8.2"
