"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"asteras tripolis","2009-10","superleague","1","0","0","0","-","-","-","-","1","0"
"asteras tripolis","2010-11","superleague","5","0","2","0","-","-","-","-","7","0"
"asteras tripolis","2011-12","superleague","9","1","1","0","-","-","-","-","10","1"
"asteras tripolis","2012-13","superleague","10","2","1","0","4","0","-","-","15","2"
"asteras tripolis","2013-14","superleague","9","0","2","0","1","0","-","-","12","0"
"asteras tripolis","2014-15","superleague","8","1","2","0","6","1","-","-","14","2"
"asteras tripolis","total","total","42","4","8","0","11","1","0","0","61","5"
"thrasyvoulos","2010-11","football league","10","1","0","0","-","-","-","-","10","1"
"thrasyvoulos","total","total","10","1","0","0","0","0","0","0","10","1"
"aris thessaloniki","2013-14","superleague","10","3","0","0","-","-","-","-","10","3"
"aris thessaloniki","total","total","10","3","0","0","0","0","0","0","10","3"
"panionios","2014-15","superleague","13","1","1","0","-","-","0","0","14","1"
"panionios","2015-16","superleague","30","11","6","1","0","0","0","0","36","12"
"panionios","total","total","43","12","7","1","0","0","0","0","50","13"
"aek athens","2016-17","superleague","22","4","5","2","2","0","-","-","29","6"
"aek athens","2017-18","superleague","27","6","9","2","8","0","-","-","44","8"
"aek athens","2018-19","superleague","21","3","2","1","5","1","-","-","28","5"
"aek athens","total","total","70","13","16","5","15","1","0","0","101","19"
"career total","career total","career total","175","33","31","6","26","2","0","0","232","41"
