"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"aston villa","1907-08","first division","23","0","3","0","0","0","26","0"
"aston villa","1908-09","first division","18","0","0","0","0","0","18","0"
"aston villa","1909-10","first division","35","0","3","0","0","0","38","0"
"aston villa","1910-11","first division","28","0","1","0","1","0","30","0"
"aston villa","1911-12","first division","28","0","1","0","0","0","29","0"
"aston villa","1912-13","first division","30","0","6","0","0","0","36","0"
"aston villa","1913-14","first division","34","0","5","0","0","0","39","0"
"aston villa","1914-15","first division","21","0","1","0","0","0","22","0"
"aston villa","total","total","217","0","20","0","1","0","238","0"
"port vale","1919-20","second division","32","0","2","1","0","0","34","1"
"port vale","1919-20","central league","8","0","0","0","0","0","8","0"
"port vale","1920-21","second division","31","0","1","0","0","0","32","0"
"port vale","total","total","71","0","3","1","0","0","74","1"
"walsall","1922-23","third division north","1","0","0","0","0","0","1","0"
"career total","career total","career total","289","0","23","1","1","0","313","1"
