"selected characteristic and company size","2015","2016"
"domestic r&d performancea","355821","374685"
"type of r&db","",""
"basic research","21792","24644"
"applied research","56472","61020"
"development","277558","289021"
"paid for by the companyc","296677","317731"
"basic research","16306","19143"
"applied research","44344","48806"
"development","236027","249782"
"paid for by others","59144","56954"
"basic research","5486","5501"
"applied research","12128","12213"
"development","41530","39239"
"source of funds","",""
"federal","26990","23772"
"otherd","32154","33182"
"size of company","",""
"micro companiese","",""
"5-9","2988","1581"
"small companies","",""
"10-19","5680","4958"
"20-49","10249","9662"
"medium companies","",""
"50-99","11509","9298"
"100-249","13602","14875"
"large companies","",""
"250-499","13553","13092"
"500-999","15217","14450"
"1,000-4,999","58094","63971"
"5,000-9,999","38838","40633"
"10,000-24,999","59328","65594"
"25,000 or more","126763","136571"
