"no","pos","nat","player","total","total","league one","league one","fa cup","fa cup","efl cup","efl cup","efl trophy","efl trophy"
"no","pos","nat","player","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"1","gk","england","tommy lee","0","0","0","0","0","0","0","0","0","0"
"2","df","scotland","paul mcginn","19","2","17+1","1","0","0","1","1","0","0"
"3","df","england","daniel jones","12","0","10+2","0","0","0","0","0","0","0"
"4","df","england","sam hird","37","1","35","1","0","0","1","0","1","0"
"5","mf","england","gary liddle","31","1","26","1","2","0","1","0","2","0"
"6","df","england","ian evatt","39","2","30+1","2","2","0","1","0","4+1","0"
"7","mf","england","dan gardner","38","2","22+12","2","0","0","0","0","4","0"
"8","mf","spain","angel","9","0","5+4","0","0","0","0","0","0","0"
"9","fw","wales","ched evans","29","7","20+5","5","1+1","1","1","0","1","1"
"10","fw","england","sylvan ebanks-blake","14","3","9+4","2","0","0","0","0","1","1"
"11","mf","england","reece mitchell","32","2","18+11","2","1","0","0","0","1+1","0"
"12","gk","scotland","ryan fulton","29","0","26","0","2","0","1","0","0","0"
"15","mf","england","liam o'neil","20","2","17","2","2","0","0","0","1","0"
"15","fw","france","david faupala","14","1","7+7","1","0","0","0","0","0","0"
"16","df","england","charlie raglan","3","0","1","0","0","0","0+1","0","1","0"
"17","mf","republic of ireland","connor dimaio","29","1","17+6","0","1","0","1","0","4","1"
"18","mf","england","jon nolan","37","1","28+2","1","1+1","0","0","0","4+1","0"
"19","mf","wales","dion donohue","42","1","36+1","1","2","0","1","0","2","0"
"20","fw","england","kristian dennis","43","10","27+9","8","1+1","0","0","0","1+4","2"
"21","gk","england","lloyd allinson","10","0","5","0","0","0","0","0","5","0"
"22","fw","bermuda","rai simons","25","0","6+14","0","0","0","0+1","0","4","0"
"23","df","england","tom anderson","39","2","33+1","2","2","0","0","0","3","0"
"24","fw","republic of ireland","conor wilkinson","12","4","6+6","4","0","0","0","0","0","0"
"24","df","england","osman kakay","8","0","7+1","0","0","0","0","0","0","0"
"25","df","england","ritchie humphreys","4","0","0+2","0","0","0","0","0","1+1","0"
"26","mf","republic of ireland","jay o'shea","33","8","23+4","6","2","1","1","0","3","1"
"27","df","england","laurence maguire","16","1","10+1","0","0","0","0","0","4+1","1"
"28","mf","united states","gboly ariyibi","36","0","24+4","0","2","0","1","0","4+1","0"
"28","mf","england","liam grimshaw","13","0","10+3","0","0","0","0","0","0","0"
"29","fw","england","jake beesley","10","0","4+3","0","1","0","0","0","2","0"
"30","fw","england","curtis morrison","2","0","0+1","0","0","0","0+1","0","0","0"
"31","df","republic of ireland","derek daly","2","0","0+1","0","0","0","0","0","0+1","0"
"32","df","libya","sadiq el fitouri","2","0","2","0","0","0","0","0","0","0"
"33","df","new zealand","liam graham","6","0","4","0","0+1","0","0","0","1","0"
"34","df","england","ify ofoegbu","2","0","0","0","0","0","0","0","1+1","0"
"35","fw","england","ricky german","9","0","1+6","0","0","0","0","0","0+2","0"
"36","gk","england","dylan parkin","0","0","0","0","0","0","0","0","0","0"
"37","mf","england","reece brown","2","0","0+2","0","0","0","0","0","0","0"
"38","gk","germany","thorsten stuckmann","15","0","15","0","0","0","0","0","0","0"
"39","mf","england","joe rowley","7","1","7","1","0","0","0","0","0","0"
"40","gk","england","matt duke","0","0","0","0","0","0","0","0","0","0"
"41","mf","england","jack brownell","1","0","0+1","0","0","0","0","0","0","0"
"42","mf","england","charlie wakefield","1","0","0+1","0","0","0","0","0","0","0"
