"","age group","age group","age group"
"","18 to 33","34 to 49","50 to 64"
"","average marginal effects","average marginal effects","average marginal effects"
"control over order of work","","",""
"none, very little or some","..","..",".."
"high or very high extent","0.040","0.035","0.038"
"control over how the work is done","","",""
"none, very little or some","..","..",".."
"high or very high extent","0.003","0.034","0.011"
"control over speed of work","","",""
"none, very little or some","..","..",".."
"high or very high extent","-0.015","0.017","0.026"
"control over hours of work","","",""
"none, very little or some","..","..",".."
"high or very high extent","0.170","0.068","0.101"
