"candidate","1st round","1st round","2nd round","2nd round"
"candidate","votes","%","votes","%"
"mahmoud ahmadinejad","5,711,696","19.43","17,284,782","61.69"
"akbar hashemi rafsanjani","6,211,937","21.13","10,046,701","35.93"
"mehdi karroubi","5,070,114","17.24","",""
"mohammad bagher ghalibaf","4,095,827","13.93","",""
"mostafa moeen","4,083,951","13.89","",""
"ali larijani","1,713,810","5.83","",""
"mohsen mehralizadeh","1,288,640","4.38","",""
"blank or invalid votes","1,224,882","4.17","663,770","2.37"
"total","29,400,857","100","27,959,253","100"
