"season","team","games","games","receiving","receiving","receiving","receiving","receiving","rushing","rushing","rushing","rushing","rushing","fumbles","fumbles"
"season","team","gp","gs","rec","yds","avg","lng","td","att","yds","avg","lng","td","fum","lost"
"2005","cleveland browns","10","7","32","512","16.0","80t","3","none","none","none","none","none","none","none"
"2006","cleveland browns","16","15","61","884","14.5","75","6","3","7","2.3","8","0","none","none"
"2007","cleveland browns","16","16","80","1,289","16.1","78t","16","none","none","none","none","none","3","2"
"2008","cleveland browns","16","16","55","873","15.9","70","3","none","none","none","none","none","none","none"
"2009","cleveland browns","4","4","10","139","13.9","24","0","none","none","none","none","none","none","none"
"2009","new york jets","12","11","35","541","15.5","65t","4","none","none","none","none","none","1","1"
"2010","new york jets","16","15","53","904","17.1","74t","7","1","4","4.0","4","0","1","1"
"2011","san francisco 49ers","9","5","15","181","12.1","24","0","none","none","none","none","none","none","none"
"2012","seattle seahawks","10","1","8","74","9.3","16","1","none","none","none","none","none","none","none"
"2012","new york jets","3","3","10","125","12.5","19","0","none","none","none","none","none","none","none"
"none","total","109","92","349","5,397","15.5","80","40","4","11","2.8","8","0","5","4"
