"place","athlete","preliminary","preliminary","preliminary","preliminary","final","final","final","best mark"
"place","athlete","1","2","3","rank","4","5","6","best mark"
"1","matt mcgrath","54.13 or","-","-","1st","52.83","53.90","54.74 or","54.74"
"2","duncan gillis","46.17","-","48.39","2nd","-","47.24","-","48.39"
"3","clarence childs","48.17","-","-","3rd","-","-","-","48.17"
"none","none","none","none","none","none","none","none","none","none"
"4","robert olsson","39.56","46.50","-","4th","none","none","none","46.50"
"5","carl johan lind","45.06","-","45.61","5th","none","none","none","45.61"
"6","denis carey","38.99","43.78","-","6th","none","none","none","43.78"
"7","nils linde","43.32","-","-","7th","none","none","none","43.32"
"8","carl jahnzon","39.18","42.58","-","8th","none","none","none","42.58"
"8","ralph rose","-","40.80","42.58","8th","none","none","none","42.58"
"10","arvid aberg","-","-","41.11","10th","none","none","none","41.11"
"11","gunnar johnson","38.66","39.92","-","11th","none","none","none","39.92"
"12","benjamin sherman","38.71","-","38.77","12th","none","none","none","38.77"
"13","viktor hackberg","-","-","38.44","13th","none","none","none","38.44"
"14","simon gillis","-","14th","none","none","none","none","none","none"
