"year","title","chart positions","chart positions","chart positions","chart positions","chart positions","album"
"year","title","uk","au","ca","us","us mod","album"
"1977","hold back the night","24","-","-","58","-","the pink parker"
"1977","(let me get) sweet on you","24","-","-","107","-","the pink parker"
"1978","the new york shuffle","-","49","-","-","-","stick to me"
"1978","hey lord, don't ask me questions","32","24","-","-","-","the parkerilla"
"1979","protection","-","46","-","-","-","squeezing out sparks"
"1979","discovering japan","-","-","-","-","-","squeezing out sparks"
"1979","local girls","-","-","-","-","-","squeezing out sparks"
"1979","i want you back","-","46","-","103","-","non-lp"
"1982","temporary beauty","50","-","-","-","-","another grey area"
"1983","life gets better","-","35","-","94","-","the real macaw"
"1985","wake up","-","-","94","39","-","steady nerves"
"1988","get started. start a fire","-","-","85","-","-","the mona lisa's sister"
"1988","don't let it break you down","-","-","-","-","27","the mona lisa's sister"
"1989","big man on paper","-","-","-","-","18","human soul"
