"canadian community health survey year","linked to htsf","linked to htsf","linked to htsf","linked to htsf","linked to cmdb","linked to cmdb","linked to cmdb","linked to cmdb","linked to cmdb","linked to cmdb","linked to cmdb","linked to cmdb"
"canadian community health survey year","unweighted","unweighted","weighted","weighted","unweighted","unweighted","weighted","weighted","unweighted","unweighted","weighted","weighted"
"canadian community health survey year","number","%","number","%","number","%","number","%","number","%","number","%"
"total","517,725","84.2","23,015,391","82.8","32,889","5.3","","","31,274","6.0","",""
"2000/2001","101,495","86.1","22,063,102","85.5","11,768","10.0","1,979,060","7.7","11,187","11.0","1,869,609","8.5"
"2003/2004","92,881","82.3","21,302,890","80.2","8,672","7.7","1,399,526","5.3","8,222","8.9","1,327,901","6.2"
"2005/2006","98,590","86.6","23,190,360","85.5","6,685","5.9","1,092,021","4.0","6,345","6.4","1,033,059","4.5"
"2007","49,096","86.0","23,725,215","85.2","2,302","4.0","763,537","2.7","2,211","4.5","723,362","3.0"
"2008","47,046","84.6","23,696,053","84.0","1,689","3.0","552,636","2.0","1,620","3.4","534,562","2.3"
"2009","43,723","83.3","23,483,307","82.2","992","1.9","316,691","1.1","951","2.2","302,384","1.3"
"2010","42,962","82.3","23,534,665","81.5","622","1.2","220,092","0.8","586","1.4","199,831","0.8"
"2011","41,932","79.3","23,127,535","79.2","159","0.3","63,076","0.2","152","0.4","57,034","0.2"
