"","indicator","indicator","indicator","indicator","indicator","indicator"
"","presence of an emotional, psychological or mental health condition","perceived social disorder in their neighbourhood","low level of trust in people in their neighbourhood","low level of trust in people from work or school","took measures to protect oneself from crime in the last year","marijuana use in the last month"
"","percentage","percentage","percentage","percentage","percentage","percentage"
"all 15-to-29 year-old internet users","16.8","7.8","44.9","30.0","16.7","15.0"
"bivariate model","predicted probabilities","predicted probabilities","predicted probabilities","predicted probabilities","predicted probabilities","predicted probabilities"
"neither cyberbullied nor cyberstalked","13.8","6.8","42.5","27.9","15.2","13.0"
"cyberbullied but not cyberstalked","32.8","10.6","59.9","43.7","23.9","28.2"
"cyberstalked but not cyberbullied","26.4","13.9","55.2","35.2","26.2","17.9"
"cyberbullied and cyberstalked","41.3","13.9","53.4","44.1","21.6","30.7"
"adjusted model","","","","","",""
"neither cyberbullied nor cyberstalked","12.5","5.9","42.8","27.4","14.5","10.5"
"cyberbullied but not cyberstalked","24.2","8.3","60.4","37.9","21.1","22.2"
"cyberstalked but not cyberbullied","16.9","9.8","50.3","31.4","22.3","13.3"
"cyberbullied and cyberstalked","25.6","9.4","47.5","39.0","17.7","21.9"
