"club","season","division","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"port vale","2001-02","second division","25","1","2","0","0","0","2","0","29","1"
"port vale","2002-03","second division","25","0","0","0","0","0","2","0","27","0"
"port vale","2003-04","second division","29","0","0","0","0","0","1","0","30","0"
"port vale","2004-05","league one","24","0","2","0","0","0","0","0","26","0"
"port vale","2005-06","league one","18","0","4","0","1","0","1","0","24","0"
"port vale","total","total","121","1","6","0","1","0","6","0","136","1"
"southport","2006-07","conference national","34","0","0","0","0","0","0","0","34","0"
"caersws","2009-10","welsh premier league","15","0","0","0","0","0","0","0","15","0"
"career total","career total","career total","170","1","8","0","1","0","6","0","185","1"
