"year","team","games","games","receiving","receiving","receiving","receiving","receiving","rushing","rushing","rushing","rushing","rushing","fumbles","fumbles"
"year","team","g","gs","rec","yds","avg","long","td","att","yds","avg","long","td","fum","lost"
"2010","ne","1","1","4","65","16.3","37","0","0","0","0","0","0","0","0"
"2011","ne","3","3","17","258","15.2","28","3","0","0","0","0","0","0","0"
"2012","ne","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","ne","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury"
"2014","ne","3","3","16","204","12.8","46","3","0","0","0","0","0","0","0"
"2015","ne","2","2","15","227","15.1","40","3","0","0","0","0","0","0","0"
"2016","ne","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury"
"2017","ne","3","3","16","218","13.6","27","3","0","0","0","0","0","0","0"
"2018","ne","3","3","13","191","14.7","29","0","0","0","0","0","0","0","0"
"career","career","16","16","81","1,163","14.3","46","12","0","0","0","0","0","0","0"
