"region or country of birth","women","women","men","men"
"region or country of birth","non-university or university postsecondary diploma","university degree only","non-university or university postsecondary diploma","university degree only"
"region of birth","percent","percent","percent","percent"
"caribbean and latin america","71.7","17.8","57.0","15.2"
"africa","68.1","31.5","70.6","41.8"
"other regions","70.9","37.4","65.5","32.5"
"country of birth","","","",""
"jamaica","73.4","19.5","52.1","12.7"
"haiti","75.0","15.6","66.3","20.3"
"trinidad and tobago","70.8","21.9","58.6","13.0"
"guyana","67.3","19.2","58.6","14.3"
"barbados","71.2","17.6","55.6","14.4"
"saint vincent and the grenadines","56.2","8.0","37.9","7.6"
"grenada","58.9","10.1","44.5","7.0"
"saint lucia","57.0","14.2","43.0","8.1"
"united kingdom","80.6","36.6","70.9","28.6"
"united states","75.8","42.6","62.1","32.2"
"ethiopia","51.3","11.2","52.0","20.7"
"somalia","35.9","12.4","39.8","16.0"
"eritrea","38.4","6.8","40.4","13.2"
"sudan","48.7","25.2","52.4","26.1"
"south sudan","38.2","8.6","51.8","19.5"
"burundi","71.8","34.4","69.9","39.9"
"kenya","81.5","44.3","78.4","51.1"
"zimbabwe","83.3","38.9","82.9","35.6"
"rwanda","78.1","38.0","72.8","44.9"
"democratic republic of the congo","69.8","22.0","73.0","36.2"
"cameroon","87.2","55.6","90.2","67.4"
"nigeria","89.6","62.2","87.1","67.6"
"ghana","69.3","23.2","68.3","30.3"
"cote d'ivoire","81.1","37.0","87.2","55.5"
"senegal","81.2","52.9","89.2","62.8"
"guinea","78.8","37.1","82.1","59.4"
