"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"grebbestads","2014","swedish football division 2","0","0","-","-","-","-","9","11","9","11"
"grebbestads","2015","swedish football division 2","24","17","-","-","-","-","3","2","27","19"
"grebbestads","total","total","24","17","-","-","-","-","12","13","36","30"
"dalkurd","2016","superettan","21","3","1","0","-","-","-","-","22","3"
"dalkurd","2017","superettan","11","2","4","1","-","-","-","-","15","3"
"dalkurd","2018","allsvenskan","5","0","3","0","-","-","-","-","8","0"
"dalkurd","total","total","37","5","8","1","-","-","-","-","45","6"
"norrby","2017","superettan","12","3","1","0","-","-","-","-","13","3"
"norrby","total","total","12","3","1","0","-","-","-","-","13","3"
"gais","2018","superettan","2","0","1","0","-","-","-","-","3","0"
"gais","total","total","2","0","1","0","-","-","-","-","3","0"
"career total","career total","career total","75","25","10","1","-","-","12","13","97","39"
