"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"walsall","1954-55","third division south","1","0","0","0","0","0","1","0"
"walsall","1955-56","third division south","1","0","0","0","0","0","1","0"
"walsall","1956-57","third division south","30","8","1","0","0","0","31","8"
"walsall","1957-58","third division south","45","9","1","0","0","0","46","9"
"walsall","total","total","77","17","2","0","0","0","79","17"
"birmingham city","1958-59","first division","26","5","2","0","2","1","30","6"
"birmingham city","1959-60","first division","8","1","0","0","2","0","10","1"
"birmingham city","1960-61","first division","17","1","3","0","4","0","24","1"
"birmingham city","1961-62","first division","3","0","0","0","1","0","4","0"
"birmingham city","total","total","54","7","5","0","9","1","68","8"
"rotherham united","1961-62","second division","25","4","0","0","1","0","26","4"
"rotherham united","1962-63","second division","17","1","0","0","3","2","20","3"
"rotherham united","total","total","42","5","0","0","4","2","46","7"
"shrewsbury town","1963-64","third division","34","4","0","0","2","0","36","4"
"shrewsbury town","1964-65","third division","39","4","6","0","2","0","47","4"
"shrewsbury town","total","total","73","8","6","0","4","0","83","8"
"port vale","1965-66","fourth division","36","1","4","1","2","1","42","3"
"port vale","1966-67","fourth division","10","1","1","0","0","0","11","1"
"port vale","total","total","46","2","5","1","2","1","53","4"
"barnsley","1967-68","fourth division","24","2","1","0","1","1","26","3"
"career total","career total","career total","316","41","19","2","20","5","355","48"
