"type of correctional supervision","total-all jurisdictions","total-all jurisdictions","total-all jurisdictions","total-all jurisdictions"
"type of correctional supervision","number","percent","percent change in the number from 2015/2016","percent change in the number from 2012/2013"
"custody","1,903","32","-5","-38"
"pre-trial detention","1,834","31","-4","-37"
"sentenced custody","69","1","-31","-54"
"secure custody and supervision","31","1","-21","-46"
"open custody and supervision","38","1","-38","-60"
"community supervision","4,034","68","-9","-47"
"probation","2,771","47","-6","-49"
"deferred custody and supervision","78","1","6","-50"
"intensive support and supervision","19","0","-10","46"
"other community","1,166","20","-17","-41"
"total correctional services","5,937","100","-8","-44"
