"club","season","league","league","league","cup","cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"triglav kranj","2013-14","slovenian prvaliga","1","0","1","0","-","-","2","0"
"gorica","2015-16","slovenian prvaliga","9","0","0","0","-","-","9","0"
"gorica","2016-17","slovenian prvaliga","25","1","3","0","1","0","29","1"
"gorica","2017-18","slovenian prvaliga","-","-","1","0","1","0","none","none"
"gorica","total","total","34","1","3","0","2","0","39","1"
"fc rostov","2017-18","russian premier league","7","0","1","0","-","-","8","0"
"fc rostov","2018-19","russian premier league","0","0","1","0","-","-","1","0"
"fc rostov","total","total","7","0","2","0","0","0","9","0"
"career total","career total","career total","42","1","6","0","2","0","50","1"
