"","2008-base","2008-base","2008-base","2008-base","2018-base","2018-base","2018-base","2018-base"
"","2015","2016","2017","2018","2015","2016","2017","2018"
"","percent","percent","percent","percent","percent","percent","percent","percent"
"geography","","","","","","","",""
"canada","12.1","10.6","9.5","8.7","14.5","12.8","11.7","11.0"
"newfoundland and labrador","12.1","10.8","9.7","9.7","13.1","12.4","11.4","11.2"
"prince edward island","14.0","11.3","10.1","9.1","14.8","11.8","13.3","11.9"
"nova scotia","13.8","12.9","12.8","10.3","17.0","16.2","15.0","13.3"
"new brunswick","14.0","11.8","9.7","7.9","16.1","13.6","12.1","10.0"
"quebec","10.9","8.6","9.0","7.9","13.7","10.9","10.8","9.7"
"ontario","12.9","11.8","10.2","9.5","15.1","13.6","12.2","11.6"
"manitoba","12.0","9.4","8.7","9.3","14.0","12.3","11.0","10.9"
"saskatchewan","10.7","9.2","9.5","8.8","12.7","11.5","12.2","11.2"
"alberta","8.2","8.6","6.8","7.3","10.0","10.8","9.0","9.4"
"british columbia","14.8","12.0","10.3","8.9","17.8","15.3","13.6","12.1"
"age group","","","","","","","",""
"persons under 18 years","13.3","11.0","9.0","8.2","16.4","14.0","11.6","10.8"
"persons 18 to 64 years","13.4","11.9","11.1","10.3","15.7","14.0","13.2","12.5"
"persons 65 years and over","5.1","4.9","3.9","3.5","7.0","7.0","6.0","5.6"
