"club","season","league","league","league","national cup","national cup","league cup","league cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"ajax","2008-09","eredivisie","5","0","0","0","-","-","1","0","-","-","6","0"
"ajax","2009-10","eredivisie","0","0","0","0","-","-","0","0","-","-","0","0"
"ajax","2010-11","eredivisie","10","0","4","0","-","-","4","0","0","0","18","0"
"ajax","2011-12","eredivisie","21","0","1","0","-","-","3","0","1","0","26","0"
"ajax","2012-13","eredivisie","34","2","3","0","-","-","8","0","1","0","46","2"
"ajax","2013-14","eredivisie","29","1","6","0","-","-","8","0","1","0","44","1"
"ajax","2014-15","eredivisie","3","0","0","0","-","-","0","0","0","0","3","0"
"ajax","total","total","102","3","14","0","-","-","24","0","3","0","143","3"
"groningen","2009-10","eredivisie","17","0","0","0","-","-","2","0","19","0","none","none"
"manchester united","2014-15","premier league","25","2","4","0","0","0","-","-","29","2","none","none"
"manchester united","2015-16","premier league","35","1","7","1","2","0","12","0","-","-","56","2"
"manchester united","2016-17","premier league","23","1","1","0","3","0","11","0","1","0","39","1"
"manchester united","2017-18","premier league","7","0","1","0","3","0","6","1","0","0","17","1"
"manchester united","total","total","90","4","13","1","8","0","29","1","1","0","141","6"
"ajax","2018-19","eredivisie","32","5","4","0","-","-","17","0","-","-","53","5"
"career total","career total","career total","241","12","31","1","8","0","69","1","6","0","356","14"
