"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"crystal palace","1974-75","third division","1","0","0","0","0","0","0","0","1","0"
"crystal palace","1975-76","third division","30","9","4","2","3","2","0","0","37","14"
"crystal palace","1976-77","third division","4","1","0","0","2","2","0","0","6","2"
"crystal palace","total","total","35","10","4","2","5","4","0","0","44","16"
"portsmouth","1976-77","third division","31","16","2","1","0","0","0","0","33","17"
"portsmouth","1977-78","third division","33","16","3","2","5","3","0","0","41","21"
"portsmouth","total","total","64","32","5","3","5","3","0","0","74","38"
"carlisle united","1977-78","third division","13","4","0","0","0","0","0","0","13","4"
"carlisle united","1978-79","third division","45","18","3","2","2","1","0","0","50","21"
"carlisle united","1979-80","third division","3","0","0","0","2","1","0","0","5","1"
"carlisle united","total","total","61","22","3","2","4","2","0","0","68","26"
"plymouth argyle","1979-80","third division","29","15","0","0","0","0","0","0","29","15"
"plymouth argyle","1980-81","third division","46","24","3","3","2","1","0","0","51","28"
"plymouth argyle","1981-82","third division","9","0","0","0","3","1","3","1","15","2"
"plymouth argyle","total","total","84","39","3","3","5","2","3","1","95","45"
"gillingham","1981-82","third division","9","2","2","1","0","0","0","0","11","3"
"brentford","1981-82","third division","3","1","0","0","0","0","0","0","3","1"
"edmonton drillers","1982","nasl","16","7","-","-","16","7","none","none","none","none"
"seattle sounders","1983","nasl","20","9","-","-","20","9","none","none","none","none"
"wimbledon","1984-85","second division","0","0","0","0","1","0","0","0","1","0"
"career total","career total","career total","292","122","17","11","20","11","3","1","332","145"
