"rank","athlete","decathlon","decathlon","decathlon","decathlon","decathlon","decathlon","decathlon","decathlon","decathlon","decathlon","points"
"rank","athlete","1","2","3","4","5","6","7","8","9","10","points"
"1","roman sebrle","10,64","8.11","15.33","2.12","47,79","13,92","47.92","4.80","70.16","4.21,98","9026"
"2","erki nool","10,73","7.80","14.37","1.97","46,89","14,46","43.32","5.30","66.94","4.39,11","8604"
"3","tomas dvorak","10,84","7.69","15.83","1.97","48,76","13,99","46.74","4.70","66.66","4.33,58","8527"
"4","lev lobodin","10,66","7.32","15.93","2.00","48,91","14,22","48.53","5.20","54.56","4.35,97","8465"
"5","attila zsivoczky","11,01","7.19","14.60","2.12","48,81","15,43","46.73","4.50","60.57","4.21,85","8173"
"6","klaus ambrosch","10,93","7.39","14.71","1.94","49,33","14,56","39.52","4.80","68.15","4.36,36","8122"
"7","zsolt kurtosi","11,08","7.16","14.77","2.06","49,07","14,30","46.61","4.70","59.83","4.49,58","8099"
"8","chiel warners","10,90","7.49","15.16","1.94","47,70","14,48","41.64","4.80","55.62","4.42,47","8085"
"9","eduard hamalainen","10,99","7.11","15.67","1.91","48,01","14,36","46.41","4.90","50.33","4.42,66","8028"
"10","benjamin jensen","10,87","6.94","14.85","1.85","48,77","14,30","40.38","5.00","58.51","4.27,65","8004"
"11","florian schonbeck","11,31","7.35","14.17","1.88","50,51","15,06","44.07","5.10","58.11","4.31,69","7891"
"12","andre niklaus","11,09","7.17","12.99","2.03","50,14","14,61","41.56","5.00","51.95","4.26,13","7891"
"13","thomas tebbich","10,99","7.11","13.78","2.00","49,26","15,07","40.18","4.50","54.32","4.46,57","7632"
"14","luiggy llanos","10,89","6.89","13.67","1.97","48,67","14,70","41.14","4.10","63.93","4.59,38","7613"
"15","michael schnallinger","11,35","6.93","12.98","1.97","50,25","14,83","41.30","4.60","61.65","4.47,22","7576"
"16","thomas walser","11,03","6.81","15.10","1.94","49,90","15,27","39.45","4.20","59.97","4.40,22","7546"
"17","markus walser","10,76","6.83","14.67","1.82","48,76","14,97","37.20","4.40","58.23","4.48,52","7506"
"none","none","none","none","none","none","none","none","none","none","none","none","none"
"-","aki heikkinen","11,14","7.10","14.74","1.88","50,61","dns","-","-","-","-","dnf"
"-","jon arnar magnusson","11,00","7.58","15.54","1.94","dns","-","-","-","-","-","dnf"
"-","raul duany","11,29","6.26","13.75","2.06","dns","-","-","-","-","-","dnf"
"-","adrian krebs","11,00","dns","-","-","-","-","-","-","-","-","dnf"
