"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"mansfield town","2001-02","third division","1","0","0","0","0","0","0","0","1","0"
"mansfield town","2002-03","second division","20","1","2","0","1","0","1","0","24","1"
"mansfield town","2003-04","third division","12","0","2","0","1","0","1","0","16","0"
"mansfield town","total","total","33","1","4","0","2","0","2","0","41","1"
"rochdale","2004-05","league two","41","1","3","0","1","0","2","0","47","1"
"rochdale","2005-06","league two","22","0","1","0","1","0","2","0","26","0"
"rochdale","total","total","63","1","4","0","2","0","4","0","73","1"
"boston united","2005-06","league two","15","1","0","0","0","0","0","0","15","1"
"boston united","2006-07","league two","36","2","1","0","1","0","0","0","38","1"
"boston united","total","total","51","3","1","0","1","0","0","0","53","3"
"grimsby town","2007-08","league two","29","2","2","0","0","0","7","1","38","3"
"grimsby town","2008-09","league two","32","1","0","0","2","0","2","0","36","1"
"grimsby town","2009-10","league two","13","0","0","0","0","0","2","0","15","0"
"grimsby town","total","total","74","3","2","0","2","0","11","1","89","4"
"york city","2009-10","conference premier","7","0","0","0","-","-","1","0","8","0"
"gainsborough trinity","2010-11","conference north","17","0","1","0","-","-","0","0","18","0"
"guiseley","2011-12","conference north","39","1","2","0","-","-","6","0","47","1"
"guiseley","2012-13","conference north","13","0","0","0","-","-","2","0","15","0"
"guiseley","total","total","52","1","2","0","0","0","8","0","62","1"
"arbroath","2015-16","scottish league two","14","0","2","0","1","0","1","0","18","0"
"montrose","2015-16","scottish league two","13","1","0","0","0","0","0","0","13","1"
"career total","career total","career total","324","10","16","0","8","0","27","1","375","11"
