"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"union santa fe","2013-14","primera b nacional","4","0","0","0","-","-","0","0","4","0"
"union santa fe","2014","primera b nacional","4","0","0","0","-","-","0","0","4","0"
"union santa fe","2015","primera division","0","0","0","0","-","-","0","0","0","0"
"union santa fe","2016","primera division","0","0","0","0","-","-","0","0","0","0"
"union santa fe","2016-17","primera division","0","0","1","0","-","-","0","0","1","0"
"union santa fe","2017-18","primera division","0","0","0","0","-","-","0","0","0","0"
"union santa fe","total","total","8","0","1","0","-","-","0","0","9","0"
"brown","2016","primera b nacional","2","0","0","0","-","-","0","0","2","0"
"career total","career total","career total","10","0","1","0","-","-","0","0","11","0"
