"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"argentinos juniors","2011-12","primera division","12","2","2","0","0","0","0","0","14","2"
"argentinos juniors","2012-13","primera division","27","0","0","0","1","0","0","0","28","0"
"argentinos juniors","2013-14","primera division","23","0","0","0","-","-","0","0","23","0"
"argentinos juniors","2014","primera b nacional","7","0","3","0","-","-","0","0","10","0"
"argentinos juniors","total","total","69","2","5","0","1","0","0","0","75","2"
"racing club","2015","primera division","10","0","2","0","1","0","0","0","13","0"
"racing club","2016","primera division","0","0","0","0","0","0","0","0","0","0"
"racing club","2016-17","primera division","0","0","0","0","0","0","0","0","0","0"
"racing club","2017-18","primera division","0","0","0","0","0","0","0","0","0","0"
"racing club","2018-19","primera division","0","0","0","0","0","0","0","0","0","0"
"racing club","total","total","10","0","2","0","1","0","0","0","13","0"
"union santa fe","2016","primera division","3","0","1","0","-","-","0","0","4","0"
"defensa y justicia","2016-17","primera division","1","0","0","0","0","0","0","0","1","0"
"brown","2017-18","primera b nacional","16","1","0","0","-","-","1","0","17","1"
"atenas","2019","segunda division","0","0","-","-","0","0","0","0","none","none"
"career total","career total","career total","99","3","8","0","2","0","1","0","110","3"
