"occupation","1991","2006","2011"
"occupation","percentage","percentage","percentage"
"women","","",""
"elementary school and kindergarten teachers","11.8","11","9.8"
"registered nurses","4","4.2","6.1"
"secondary school teachers","5.4","5","4.8"
"financial auditors and accountants","2.8","3","3"
"general office clerks","1","1.8","2.1"
"percentage working in top 3 occupations","21.2","20.2","20.7"
"total occupation","100","100","100"
"men","","",""
"computer programmers and interactive media developers","..","4.2","3.6"
"computer programmers","2.4","..",".."
"financial auditors and accountants","3.9","2.9","3.5"
"secondary school teachers","4.1","3.8","3.4"
"information systems analysts and consultants","..","3.6","2.9"
"percentage working in top 3 occupations","11.7","11.6","10.5"
"total occupation","100","100","100"
