"club","season","league","league","cup","cup","europe","europe","total","total"
"club","season","apps","goals","apps","goals","apps","goals","apps","goals"
"sportul studentesc","1998-99","16","2","0","0","0","0","16","2"
"sportul studentesc","1999-2000","28","6","0","0","0","0","28","6"
"sportul studentesc","2000-01","27","4","5","1","0","0","32","5"
"sportul studentesc","2001-02","29","12","2","1","0","0","31","13"
"sportul studentesc","2002-03","12","2","0","0","0","0","12","2"
"sportul studentesc","2003-04","28","29","0","0","0","0","28","29"
"sportul studentesc","2004-05","29","21","2","1","0","0","29","22"
"total","total","169","76","9","3","0","0","178","79"
"timisoara","2005-06","20","2","2","1","0","0","22","3"
"timisoara","2006-07","29","9","4","2","0","0","33","11"
"timisoara","2007-08","28","16","2","1","0","0","30","17"
"timisoara","2008-09","31","17","4","2","2","1","37","20"
"timisoara","2009-10","16","8","0","0","6","3","22","11"
"total","total","124","52","12","6","8","4","144","62"
"kuban krasnodar","2010","31","9","0","0","0","0","31","9"
"kuban krasnodar","2011-12","39","6","1","0","0","0","40","6"
"kuban krasnodar","2012-13","21","4","2","0","0","0","23","4"
"kuban krasnodar","2013-14","28","6","0","0","6","1","34","7"
"kuban krasnodar","2014-15","24","3","3","0","0","0","27","3"
"kuban krasnodar","2015-16","15","0","1","0","0","0","16","0"
"total","total","158","28","7","0","6","1","171","29"
"career total","career total","451","156","28","9","14","5","493","170"
