"","labour force survey data","2016 census data","administrative data: ceedd"
"","shares","shares","shares"
"incorporated self-employed workers","7.1","4.4","9.5"
"unincorporated self-employed workers","9.5","7.5","14.6"
"","percent","percent","percent"
"unincorporated self-employed workers","","",""
"with employees","12.0","26.4","3.9"
"with no employees","88.0","73.6","96.1"
"","shares","shares","shares"
"sole proprietors with t2125 income","..","..","12.9"
"gig workers","..","..","8.2"
"","percent","percent","percent"
"gig workers","","",""
"with no t4 jobs","..","..","48.6"
"with a single t4 job","..","..","36.3"
"with multiple t4 jobs","..","..","15.1"
