"","total","recent immigrants","long-term immigrants","canadian-born aged 25 to 34","canadian-born aged 35 to 64"
"","number","number","number","number","number"
"population with a university degree","","","","",""
"2001","3,131,700","414,300","505,500","722,100","1,489,800"
"2006","3,883,100","597,300","664,900","800,900","1,820,000"
"2011","4,622,800","662,900","907,300","933,800","2,118,800"
"2016","5,201,300","795,600","1,107,900","1,015,800","2,282,000"
"","percent","percent","percent","percent","percent"
"growth from 2001 to 2016","66.1","92.0","119.2","40.7","53.2"
"individuals with a university degree within each population group","","","","",""
"2001","19.5","33.8","21.5","22.9","15.9"
"2006","22.7","46.6","24.5","25.7","18.2"
"2011","25.5","49.0","29.6","28.3","20.4"
"2016","28.0","49.9","34.2","29.9","22.1"
