"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"port vale","1945-46","none","0","0","6","2","0","0","6","2"
"port vale","1946-47","third division south","18","5","0","0","0","0","18","5"
"port vale","1947-48","third division south","38","13","1","0","0","0","39","13"
"port vale","1948-49","third division south","40","10","1","0","0","0","41","10"
"port vale","1949-50","third division south","27","6","4","2","0","0","31","8"
"port vale","total","total","123","34","12","4","0","0","135","38"
"west bromwich albion","1949-50","first division","11","5","0","0","0","0","11","5"
"west bromwich albion","1950-51","first division","40","10","2","0","0","0","42","10"
"west bromwich albion","1951-52","first division","40","32","2","3","0","0","42","36"
"west bromwich albion","1952-53","first division","41","20","5","1","0","0","46","21"
"west bromwich albion","1953-54","first division","39","27","6","7","0","0","45","34"
"west bromwich albion","1954-55","first division","42","27","2","0","1","3","45","30"
"west bromwich albion","1955-56","first division","34","17","3","1","0","0","37","18"
"west bromwich albion","1956-57","first division","37","10","9","5","0","0","46","15"
"west bromwich albion","1957-58","first division","39","22","6","6","0","0","45","28"
"west bromwich albion","1958-59","first division","36","17","3","0","0","0","39","17"
"west bromwich albion","1959-60","first division","36","15","3","0","0","0","39","15"
"west bromwich albion","1960-61","first division","20","6","1","0","0","0","21","6"
"west bromwich albion","total","total","415","208","42","23","1","3","458","234"
"crystal palace","1961-62","third division","28","13","2","0","1","0","31","13"
"crystal palace","1962-63","third division","36","11","3","1","1","0","40","12"
"crystal palace","1963-64","third division","27","7","2","2","0","0","29","9"
"crystal palace","1964-65","second division","9","3","0","0","0","0","9","3"
"crystal palace","total","total","100","34","7","3","2","0","109","37"
"career total","career total","career total","638","276","61","30","3","3","702","309"
