"","first study permit obtained in","first study permit obtained in","first study permit obtained in","first study permit obtained in","first study permit obtained in"
"","1990 to 1994","1995 to 1999","2000 to 2004","2005 to 2009","2010 to 2013"
"","percentage","percentage","percentage","percentage","percentage"
"gender","","","","",""
"male","51","50","51","54","55"
"female","49","50","49","46","45"
"age at first study permit","","","","",""
"under 18","33","25","22","25","21"
"18 to 24","41","49","55","55","58"
"25 and over","26","26","23","21","20"
"level of study at first study permit","","","","",""
"primary and secondary","43","28","24","25","22"
"trade","10","15","15","12","6"
"postsecondary, other","21","24","27","25","34"
"bachelor","10","13","16","19","18"
"above bachelor","8","8","8","10","11"
"other","8","12","10","8","8"
"source country/region","","","","",""
"northern and western europe","17","17","13","13","10"
"southern and eastern europe","5","4","3","4","4"
"africa","8","6","6","7","7"
"china","5","5","15","16","24"
"india","1","1","3","5","13"
"japan","11","13","9","6","4"
"south korea","3","15","20","19","9"
"other asian countries","26","16","13","14","14"
"united states","10","9","7","6","4"
"other","13","15","13","11","11"
"destination of first study permit","","","","",""
"atlantic","5","4","5","6","5"
"montreal","13","13","12","11","11"
"quebec, excluding montreal","7","6","4","4","4"
"toronto","11","12","16","16","22"
"ontario, excluding toronto","27","21","18","18","21"
"prairies","14","14","12","11","10"
"vancouver","11","20","20","20","16"
"british columbia, excluding vancouver","13","12","13","13","12"
"territories","0","0","0","0","0"
"number of observations","158,000","219,000","330,000","340,000","385,000"
