"","received support for caregiving duties in the past 12 months","received support for caregiving duties in the past 12 months","received support for caregiving duties in the past 12 months"
"","total","men","women"
"","percent","percent","percent"
"any type of support","67.7","66.3","68.8"
"source of support","","",""
"spouse or partner modified their life or work arrangements","41.4","41.8","41.0"
"children provided help","41.3","36.1","45.9"
"extended family members provided help","27.6","25.2","29.5"
"close friends or neighbours provided help","23.2","21.0","25.1"
"community, spiritual community, or cultural or ethnic groups provided help","13.0","10.8","14.8"
"occasional relief or respite care","12.6","13.1","12.1"
"family or friends provided financial support","5.8","6.3","5.3"
"received money from government programs","4.6","5.2","4.0"
"received federal tax credits for which caregivers were eligible","9.2","10.4","8.2"
