"club","season","league","league","league","cup","cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"real madrid b","2003-04","segunda division b","1","0","-","-","1","0","none","none"
"real madrid b","2004-05","segunda division b","3","0","-","-","3","0","none","none"
"real madrid b","2005-06","segunda division","1","0","-","-","1","0","none","none"
"real madrid b","2006-07","segunda division","31","2","-","-","31","2","none","none"
"real madrid b","2007-08","segunda division b","17","1","-","-","17","1","none","none"
"real madrid b","2008-09","segunda division b","34","1","-","-","34","1","none","none"
"real madrid b","2009-10","segunda division b","7","0","-","-","7","0","none","none"
"real madrid b","total","total","94","4","-","-","94","4","none","none"
"rayo vallecano","2005-06","segunda division b","17","1","0","0","-","-","17","1"
"real madrid","2005-06","la liga","0","0","0","0","0","0","0","0"
"real madrid","2008-09","la liga","1","0","0","0","0","0","1","0"
"real madrid","total","total","1","0","0","0","0","0","1","0"
"girona","2009-10","segunda division","9","0","0","0","-","-","9","0"
"girona","2010-11","segunda division","35","0","1","0","-","-","36","0"
"girona","2011-12","segunda division","35","0","1","0","-","-","36","0"
"girona","2012-13","segunda division","35","4","1","0","4","0","40","4"
"girona","total","total","114","4","3","0","4","0","121","4"
"almeria","2013-14","la liga","25","0","4","0","-","-","29","0"
"brentford","2014-15","championship","4","0","2","0","-","-","6","0"
"brentford","2015-16","championship","0","0","0","0","-","-","0","0"
"brentford","total","total","4","0","2","0","-","-","6","0"
"llagostera","2015-16","segunda division","20","0","0","0","-","-","20","0"
"delhi dynamos","2016","indian super league","12","0","-","-","12","0","none","none"
"reus","2016-17","segunda division","9","0","0","0","-","-","9","0"
"fc pune city","2017-18","indian super league","6","1","-","-","6","1","none","none"
"career total","career total","career total","285","10","9","0","0","0","294","10"
