"service industry","all occupations","all occupations","s&e occupations","s&e occupations","non-s&e occupations","non-s&e occupations","s&e workforce intensitya","s&e workforce intensitya"
"service industry","2004","2012","2004","2012","2004","2012","2004","2012"
"business services","57000","73000","71000","87000","54000","69000","18.7","21.4"
"accounting, tax preparation, bookkeeping, and payroll services","49000","60000","66000","71000","48000","60000","3.8","2.7"
"advertising, public relations, and related services","51000","65000","61000","74000","50000","64000","3.5","3.6"
"architectural, engineering, and related services","56000","73000","71000","88000","50000","65000","29.5","33.3"
"computer systems design and related services","70000","85000","72000","86000","68000","83000","48.3","52.5"
"legal services","61000","77000","58000","70000","61000","77000","1.2","1.4"
"management of companies and enterprises","55000","73000","69000","83000","53000","72000","11.7","12.9"
"management, scientific, and technical consulting services","59000","74000","69000","86000","57000","72000","18.4","17.9"
"other professional, scientific, and technical services","34000","46000","48000","69000","33000","45000","5.9","4.2"
"scientific r&d services","67000","85000","77000","93000","60000","78000","40","44.1"
"specialized design services","48000","59000","61000","74000","48000","58000","3.6","4.7"
"financial services","48000","62000","66000","83000","47000","60000","4.8","5.4"
"activities related to credit intermediation","44000","52000","61000","85000","43000","50000","3.4","6"
"agencies, brokerages, and other insurance-related activities","46000","56000","60000","73000","45000","55000","2.3","2.7"
"depository credit intermediation","38000","50000","60000","78000","37000","49000","3.2","3.4"
"insurance and employee benefit funds","50000","69000","69000","89000","na","68000","na","7.8"
"insurance carriers","49000","64000","64000","80000","48000","62000","7.7","9.5"
"monetary authorities-central bank","50000","81000","70000","90000","46000","79000","14.7","21.5"
"nondepository credit intermediation","48000","58000","67000","86000","47000","56000","4.6","5.2"
"other financial investment activities","71000","95000","75000","93000","71000","95000","7.1","5.3"
"other investment pools and funds","58000","79000","na","91000","na","77000","na","8.9"
"securities and commodity contracts intermediation and brokerage","74000","95000","77000","99000","73000","94000","6.9","6.8"
"securities and commodity exchanges","76000","99000","74000","na","77000","na","16.2","na"
"information services","49000","64000","70000","84000","46000","60000","11.8","16.6"
"cable and other program distribution","41000","na","57000","na","40000","na","6.5","na"
"cable and other subscription programming","46000","56000","58000","77000","45000","55000","7.8","4.7"
"data processing, hosting, and related services","53000","68000","na","79000","75000","61000","29","38"
"internet publishing and broadcasting","63000","na","67000","na","61000","na","29.2","na"
"internet service providers and web search portals","61000","na","65000","na","59000","na","36.9","na"
"motion picture and video industries","40000","61000","69000","86000","39000","61000","1.7","2.3"
"newspaper, periodical, book, and directory publishers","41000","52000","62000","72000","40000","51000","4.4","3.9"
"other information services","38000","72000","64000","88000","37000","68000","5.2","23.7"
"other telecommunications","50000","65000","61000","79000","48000","61000","14.7","20.2"
"radio and television broadcasting","46000","57000","62000","72000","45000","56000","2.8","3.1"
"satellite telecommunications","53000","57000","73000","90000","50000","53000","11.6","12.8"
"software publishers","75000","91000","77000","91000","72000","91000","48.3","45.9"
"sound recording industries","45000","61000","56000","73000","45000","60000","3.8","3.2"
"telecommunications resellers","52000","na","68000","na","49000","na","16.1","na"
"wired telecommunications carriers","54000","63000","71000","81000","51000","59000","16.3","16.5"
"wireless telecommunications carriers","47000","60000","68000","86000","43000","56000","13.7","15.4"
