"characteristics","acquisition of bilingualism in 2016 among those who were not bilingual in 2006","acquisition of bilingualism in 2016 among those who were not bilingual in 2006","retention of bilingualism in 2016 among those who were already bilingual in 2006","retention of bilingualism in 2016 among those who were already bilingual in 2006"
"characteristics","canada outside quebec","quebec","canada outside quebec","quebec"
"characteristics","percent","percent","percent","percent"
"mother tongue","","","",""
"english","5.8","58.3","60.5","94.7"
"french","80.3","54.1","97.2","92.1"
"english and french","23.7","70.0","86.2","95.6"
"other language","8.5","74.0","46.2","95.6"
"parents bilingual in english and french in 2006","","","",""
"neither parent","5.5","43.6","50.8","88.4"
"one parent","16.6","61.4","76.2","91.6"
"both parents","42.9","77.4","90.2","96.2"
"age group in 2006","","","",""
"5 to 7 years","13.4","51.8","81.9","94.6"
"8 to 10 years","7.5","59.3","75.4","95.6"
"11 to 13 years","4.4","57.5","63.3","93.6"
"14 to 17 years","2.7","52.7","55.7","92.5"
"sex","","","",""
"female","8.7","55.9","66.6","93.3"
"male","5.1","54.8","63.9","93.6"
"generational status","","","",""
"first generation","8.9","76.2","48.0","96.1"
"second generation","7.7","73.5","57.9","95.4"
"third generation","6.2","52.4","70.4","92.3"
"highest level of education of at least one parent in 2006","","","",""
"no high school diploma","2.9","34.1","48.5","90.1"
"high school diploma","4.3","47.5","55.3","90.5"
"postsecondary diploma","5.4","50.4","64.2","91.5"
"bachelor's degree","10.3","72.7","69.5","97.5"
"graduate degree","13.9","83.7","72.5","96.6"
"economic family income quintile in 2006","","","",""
"bottom quintile","6.1","45.6","55.8","91.8"
"second quintile","6.0","46.6","59.4","92.2"
"third quintile","6.3","52.6","65.4","91.5"
"fourth quintile","7.1","61.7","67.5","93.8"
"top quintile","8.3","75.8","70.6","97.2"
"presence of the minority language group in the census subdivision in 2006, by quintile","","","",""
"bottom quintile","4.9","42.2","47.8","84.7"
"second quintile","5.3","52.6","50.5","89.6"
"third quintile","6.4","54.8","57.5","91.9"
"fourth quintile","5.7","70.1","60.6","95.6"
"top quintile","13.3","67.8","80.6","95.5"
"living with parents in 2016","","","",""
"no","3.6","53.7","60.6","91.1"
"yes","7.9","56.0","67.6","94.9"
