"","kilometers","kilometers","kilometers"
"","median distance","interquartile range","interquartile range"
"","median distance","from","to"
"total","0.46","0.12","4.89"
"delivery mode type","","",""
"a","0.16","0.08","0.32"
"b","0.11","0.06","0.20"
"e, g, m","0.21","0.08","1.25"
"h, k, t","5.87","3.81","8.75"
"w","5.20","2.93","9.24"
"representative point type","","",""
"blockface","0.13","0.06","0.23"
"dissemination block","0.33","0.16","0.75"
"dissemination area","5.53","2.89","8.66"
"community size","","",""
"1,500,000 or more","0.16","0.08","0.83"
"500,000 to 1,499,999","0.22","0.09","0.52"
"100,000 to 499,999","0.20","0.08","2.53"
"10,000 to 99,999","0.33","0.13","3.93"
"fewer than 10,000","5.60","2.42","9.48"
