"year","females","females","males","males"
"year","at birth","at age 65","at birth","at age 65"
"year","in years","in years","in years","in years"
"1941","66.3","14.1","63.0","12.8"
"1945","68.0","14.5","64.7","13.1"
"1950/1952","70.8","15.0","66.3","13.3"
"1955/1957","72.9","15.6","67.6","13.4"
"1960/1962","74.2","16.1","68.4","13.5"
"1965/1967","75.2","16.7","68.8","13.6"
"1970/1972","76.4","17.5","69.3","13.7"
"1975/1977","77.5","18.0","70.2","14.0"
"1980/1982","79.0","18.9","71.9","14.6"
"1985/1987","79.7","19.1","73.0","14.9"
"1990/1992","80.9","19.8","74.5","15.7"
"1995/1997","81.1","19.9","75.4","16.2"
"2000/2002","82.0","20.4","76.9","17.0"
"2005/2007","82.8","21.1","78.2","18.0"
"2006/2008","83.0","21.2","78.4","18.2"
"2007/2009","83.1","21.4","78.6","18.3"
"2008/2010","83.4","21.6","79.0","18.6"
"2009/2011","83.6","21.7","79.3","18.8"
