"","agricultural region 1 nova scotia","agricultural region 1 nova scotia","agricultural region 5 nova scotia","agricultural region 5 nova scotia","agricultural region 3 prince edward island","agricultural region 3 prince edward island"
"","french-language workers","english-language workers","french-language workers","english-language workers","french-language workers","english-language workers"
"","percent","percent","percent","percent","percent","percent"
"place of birth","","","","","",""
"born in the province of residence","92.9","85.1","94.6","90.7","82.1","75.3"
"born in a different province","5.8","11.6","0.0","6.6","17.9","22.6"
"born outside of canada","0.0","3.2","0.0","2.6","0.0","2.0"
"religion","","","","","",""
"anglican","0.0","13.6","0.0","6.9","0.0","5.4"
"catholic","89.3","18.7","94.6","60.3","89.7","42.4"
"pentecostal","0.0","2.8","0.0","0.0","0.0","2.0"
"presbyterian","0.0","0.4","0.0","3.7","0.0","3.6"
"united church","0.0","5.3","0.0","8.0","0.0","18.7"
"other christian","2.7","32.2","0.0","9.0","0.0","12.8"
"buddhist, hindu, jewish, muslim and sikh","0.0","1.0","0.0","0.5","0.0","0.0"
"other religions","0.0","0.0","0.0","0.0","0.0","0.6"
"no religious affiliation","5.8","26.0","0.0","11.2","0.0","14.3"
