"club","season","league","league","league","cup","cup","league cup","league cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"saint-etienne","2010-11","ligue 1","12","0","0","0","1","0","-","-","13","0","none","none"
"saint-etienne","2011-12","ligue 1","32","0","1","0","1","0","-","-","34","0","none","none"
"saint-etienne","2012-13","ligue 1","26","0","2","0","3","0","-","-","31","0","none","none"
"saint-etienne","2013-14","ligue 1","17","1","1","0","1","0","-","-","19","1","none","none"
"saint-etienne","total","total","87","1","4","0","6","0","-","-","97","1","none","none"
"napoli","2013-14","serie a","15","0","3","0","-","-","3","0","-","-","21","0"
"napoli","2014-15","serie a","21","0","3","0","-","-","14","0","1","0","39","0"
"napoli","2015-16","serie a","34","0","0","0","-","-","4","0","-","-","38","0"
"napoli","2016-17","serie a","29","0","1","0","-","-","8","0","-","-","38","0"
"napoli","2017-18","serie a","11","2","0","0","-","-","6","0","-","-","17","2"
"napoli","2018-19","serie a","6","0","1","0","-","-","1","0","-","-","8","0"
"napoli","total","total","116","2","8","0","-","-","36","0","1","0","161","2"
"career total","career total","career total","203","3","12","0","6","0","36","0","1","0","258","3"
