"year","team","games","games","receiving","receiving","receiving","receiving","receiving","receiving","fumbles","fumbles"
"year","team","gp","gs","tgt","rec","yds","avg","lng","td","fum","lost"
"2004","ari","16","16","115","58","780","13.4","48","8","1","0"
"2005","ari","16","16","165","103","1,409","13.7","47","10","0","0"
"2006","ari","13","13","111","69","946","13.7","57","6","0","0"
"2007","ari","15","15","167","100","1,409","14.1","48t","10","3","3"
"2008","ari","16","16","154","96","1,431","14.9","78t","12","1","0"
"2009","ari","16","16","153","97","1,092","11.3","34t","13","0","0"
"2010","ari","16","15","173","90","1,137","12.6","41t","6","0","0"
"2011","ari","16","16","154","80","1,411","17.6","73t","8","0","0"
"2012","ari","16","16","156","71","798","11.2","37t","4","0","0"
"2013","ari","16","16","135","82","954","11.6","75","10","1","1"
"2014","ari","14","13","103","63","784","12.4","80t","2","1","1"
"2015","ari","16","16","145","109","1,215","11.1","44","9","2","2"
"2016","ari","16","16","150","107","1,023","9.6","32","6","2","1"
"2017","ari","16","16","161","109","1,156","10.7","37","6","1","1"
"2018","ari","16","16","110","69","734","10.6","37","6","0","0"
"career","career","234","232","2,152","1,303","16,279","12.5","80t","116","12","9"
