"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"plymouth argyle","2004-05","championship","3","0","0","0","0","0","-","-","3","0"
"plymouth argyle","2005-06","championship","0","0","0","0","0","0","-","-","0","0"
"plymouth argyle","2006-07","championship","2","0","1","0","0","0","-","-","3","0"
"plymouth argyle","2007-08","championship","0","0","0","0","1","0","-","-","1","0"
"plymouth argyle","total","total","5","0","1","0","1","0","-","-","7","0"
"torquay united","2006-07","league two","3","1","0","0","0","0","0","0","3","1"
"torquay united","2006-07","league two","6","0","0","0","0","0","0","0","6","0"
"torquay united","total","total","9","1","0","0","0","0","0","0","9","1"
"brentford","2007-08","league two","10","0","0","0","0","0","0","0","10","0"
"brentford","2007-08","league two","21","0","0","0","0","0","0","0","21","0"
"brentford","2008-09","league two","39","1","2","0","0","0","2","0","43","1"
"brentford","2009-10","league one","27","2","4","0","1","0","0","0","32","2"
"brentford","total","total","87","3","6","0","1","0","2","0","96","3"
"southampton","2010-11","league one","23","1","3","0","1","0","1","0","28","1"
"southampton","2011-12","championship","0","0","0","0","2","0","-","-","2","0"
"southampton","2012-13","premier league","0","0","0","0","0","0","-","-","0","0"
"southampton","total","total","23","1","3","0","3","0","1","0","30","1"
"yeovil town","2011-12","league one","5","1","0","0","0","0","0","0","5","1"
"leyton orient","2011-12","league one","9","0","0","0","0","0","0","0","9","0"
"bradford city","2012-13","league two","5","1","0","0","0","0","1","0","6","1"
"colchester united","2013-14","league one","32","0","1","0","1","0","1","0","35","0"
"crawley town","2014-15","league one","32","1","1","0","2","0","2","0","37","1"
"yeovil town","2015-16","league two","37","2","4","0","0","0","1","0","42","2"
"yeovil town","2016-17","league two","34","0","1","0","1","0","4","0","40","0"
"yeovil town","2017-18","league two","36","0","4","0","1","0","2","0","43","0"
"yeovil town","total","total","107","2","9","0","2","0","7","0","125","2"
"torquay united","2018-19","national league south","7","0","0","0","-","-","0","0","7","0"
"career total","career total","career total","334","10","21","0","10","0","14","0","376","10"
