"","total, ages 15 to 74","birth cohort","birth cohort","birth cohort"
"","total, ages 15 to 74","1940 to 1959","1960 to 1979","1980 to 1999"
"","percent","percent","percent","percent"
"proportion experiencing any childhood physical abuse by other forms of childhood violence","","","",""
"any childhood physical abuse","17.8","19.3","20.9","13.3"
"childhood sexual abuse","","","",""
"no childhood sexual abuse","15.0","16.1","17.7","11.7"
"any childhood sexual abuse","46.4","43.6","47.9","48.3"
"witnessed parental violence","","","",""
"never","13.3","14.3","15.8","10.1"
"1 to 5 times","44.8","47.4","47.5","38.9"
"6 or more times","69.5","71.7","69.7","65.9"
"accumulation of violent events","","","",""
"childhood physical abuse only","52.9","46.8","51.3","63.5"
"childhood sexual abuse only","18.8","23.3","18.8","12.9"
"witnessed only parental violence 6 or more times","4.2","4.0","4.1","4.8"
"a combination of any two forms of violence","19.4","20.5","20.8","15.5"
"all three forms of violence","4.7","5.3","5.1","3.3"
