"team","from","to","record","record","record","record","record","record"
"team","from","to","g","w","d","l","win %","ref"
"borussia monchengladbach","1 july 1979","30 june 1987","343","169","77","97","49.27","none"
"bayern munich","1 july 1987","8 october 1991","198","113","46","39","57.07","none"
"athletic bilbao","1 july 1992","30 june 1994","82","34","20","28","41.46","none"
"eintracht frankfurt","1 july 1994","2 april 1995","34","12","10","12","35.29","none"
"tenerife","1 july 1995","26 june 1997","104","44","27","33","42.31","none"
"real madrid","26 june 1997","28 may 1998","53","26","15","12","49.06","none"
"benfica","1 july 1999","20 september 2000","48","27","8","13","56.25","none"
"athletic bilbao","1 july 2001","17 june 2003","86","36","22","28","41.86","none"
"schalke 04","17 june 2003","15 september 2004","57","28","14","15","49.12","none"
"borussia monchengladbach","1 july 2006","31 january 2007","21","5","4","12","23.81","none"
"bayern munich","28 april 2009","5 june 2009","5","4","1","0","80.00","none"
"bayer leverkusen","5 june 2009","30 june 2011","84","44","26","14","52.38","none"
"bayern munich","1 july 2011","26 june 2013","109","83","12","14","76.15","none"
"bayern munich","9 october 2017","30 june 2018","41","32","4","5","78.05","none"
"total","total","total","1,265","657","286","322","51.94","-"
