"year","total crime severity index","total crime severity index","violent crime severity index","violent crime severity index","non-violent crime severity index","non-violent crime severity index"
"year","index","percent change from previous year","index","percent change from previous year","index","percent change from previous year"
"2007","95.3","-5","97.8","-2","94.3","-6"
"2008","90.6","-5","95.1","-3","88.9","-6"
"2009","87.8","-3","94.3","-1","85.3","-4"
"2010","82.9","-6","89.2","-5","80.5","-6"
"2011","77.6","-6","85.7","-4","74.5","-8"
"2012","75.4","-3","81.9","-4","72.9","-2"
"2013","68.8","-9","73.9","-10","66.8","-8"
"2014","66.7","-3","70.5","-5","65.2","-2"
"2015","70.1","5","75.1","6","68.2","5"
"2016r","71.7","2","76.6","2","69.8","2"
"2017","72.9","2","80.3","5","70.0","0"
"percent change 2007 to 2017","-24","..","-18","..","-26",".."
