"variables","< 1993","≥ 1993","difference","confidence interval"
"age","40.4","35.1","-5.3","(-5.6, -5.1"
"sex","45.0","47.4","2.4","(-3.7, 8.4"
"married","44.7","38.4","-6.4","(-13.9, 1.2"
"common-law","26.7","28.8","2.1","(-3.7, 7.8"
"separated/divorced/widowed","12.1","5.5","-6.6","(-10.0, -3.2"
"single","16.4","27.3","10.9","(3.8, 17.9"
"age, first marriage","27.6","27.6","0.0","(-0.7, 0.7"
"age, first marriage/union","26.5","25.8","-0.8","(-1.4, -0.1"
"age, first child","29.5","28.8","-0.7","(-1.6, 0.1"
"household size","3.3","3.2","-0.1","(-0.3, 0.1"
"includes 3 generations or more","1.8","3.3","1.5","(-0.2, 3.3"
"includes 2 generations or less","85.5","79.5","-5.9","(-13.0, 1.2"
"person not in a census family","12.8","17.2","4.4","(-2.6, 11.4"
"single detached house","77.2","67.2","-10.1","(-17.9, -2.2"
"atlantic","7.4","7.4","0.0","(-1.9, 2.0"
"quebec","23.1","26.4","3.2","(-1.5, 8.0"
"ontario","36.6","35.8","-0.7","(-8.0, 6.5"
"prairies","20.2","17.6","-2.6","(-7.2, 1.9"
"bc","12.6","12.8","0.1","(-3.9, 4.1"
"rural area","18.6","17.0","-1.7","(-6.2, 2.9"
"aboriginal person","2.4","2.5","0.0","(-1.5, 1.6"
"own education: less than high school","7.2","5.3","-1.9","(-4.7, 0.9"
"own education: high school","15.8","17.4","1.6","(-3.2, 6.4"
"own education: trade/vocational/apprenticeship","11.8","10.0","-1.8","(-5.1, 1.5"
"own education: some postsecondary","30.6","30.7","0.1","(-6.5, 6.7"
"own education: bachelor or above","34.4","35.9","1.5","(-4.9, 8.0"
"health: very good/excellent","66.3","68.6","2.2","(-4.4, 8.9"
"health: good","26.2","26.6","0.4","(-5.8, 6.5"
"health: fair/poor","7.4","4.8","-2.6","(-5.6, 0.4"
"employed","88.8","86.2","-2.5","(-6.4, 1.3"
"self-employed","13.9","13.7","-0.2","(-4.4, 4.0"
"living with both parents at birth","98.4","95.8","-2.6","(-4.5, -0.7"
"living with both parents at 15","84.0","79.8","-4.2","(-9.1, 0.7"
"mother education: less than high school","24.6","19.2","-5.4","(-10.9, 0.2"
"mother education: high school","32.3","30.5","-1.8","(-8.5, 4.8"
"mother education: some postsecondary","26.7","28.8","2.1","(-3.6, 7.7"
"mother education: university","12.5","19.8","7.2","(1.9, 12.6"
"father education: less than high school","28.0","22.9","-5.1","(-11.4, 1.2"
"father education: high school","21.2","21.9","0.7","(-4.3, 5.7"
"father education: some postsecondary","23.9","28.5","4.6","(-2.1, 11.4"
"father education: university","23.9","24.4","0.5","(-5.0, 6.1"
"visible minority","7.4","11.4","4.0","(-2.3, 10.3"
"born in canada, canadian-born parents","66.7","70.9","4.2","(-2.7, 11.1"
"foreign-born","8.4","9.1","0.6","(-2.9, 4.1"
"born in canada, at least one foreign-born parent","24.8","20.0","-4.8","(-11.7, 2.0"
"number","720","1133","..",".."
