"selected characteristic","2012","2013"
"domestic r&d performance","302250","322528"
"source of funds","",""
"paid for by the company","247280","264913"
"paid for by others","54970","57615"
"federal","30621","29362"
"othera","24349","28253"
"size of company","",""
"5-24","9841","10297"
"25-49","7195","7941"
"50-99","9182","8910"
"100-249","12480","13666"
"250-499","11264","12189"
"500-999","11484","12002"
"1,000-4,999","50691","55517"
"5,000-9,999","30483","31514"
"10,000-24,999","49493","51218"
"25,000 or more","110138","119275"
