"city","total population","black or african american, alone or with other races","black or african american, alone or with other races","black or african american, alone","black or african american, alone","mixed-race black/african-american","mixed-race black/african-american"
"city","total population","rank","percentage of total population","rank","percentage of total population","rank","percentage of total population"
"detroit, michigan","713,777","1","84.3","1","82.7","83","1.6"
"jackson, mississippi","173,514","2","80.1","2","79.4","242","0.7"
"miami gardens, florida","109,167","3","77.9","3","76.3","91","1.6"
"birmingham, alabama","212,237","4","74.0","4","73.4","257","0.6"
"baltimore, maryland","620,961","5","65.1","5","63.7","134","1.3"
"memphis, tennessee","646,889","6","64.1","6","63.3","225","0.8"
"new orleans, louisiana","343,831","7","61.2","7","60.2","184","1.0"
"flint, michigan","102,434","8","59.5","9","56.6","9","2.9"
"montgomery, alabama","205,764","9","57.4","8","56.6","231","0.8"
"savannah, georgia","136,286","10","56.7","10","55.4","139","1.3"
