"","pain","pain","pain","anxiety, nerves or depression","anxiety, nerves or depression","anxiety, nerves or depression","insomnia","insomnia","insomnia","other","other","other"
"","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval"
"","%","from","to","%","from","to","%","from","to","%","from","to"
"total","52.5","43.6","61.2","18.8","13.0","26.5","18.3","11.7","27.6","10","6.7","15.5"
"age group","","","","","","","","","","","",""
"15 to 24","53.9","39.2","68.0","22.1","13.0","35.0","10.3","5.3","19.0","f","..",".."
"25 to 44","45.4","31.9","59.6","24.4","14.2","38.8","22.2","11.7","37.9","f","..",".."
"45 and older","60.9","45.3","74.5","f","..","..","f","..","..","12","6.1","21.1"
"male","49.3","38.4","60.2","19.8","12.4","29.9","20.8","12.0","33.5","10.2","5.8","17.3"
"age group","","","","","","","","","","","",""
"15 to 24","53.3","35.1","70.7","22.4","11.5","39.1","f","..","..","f","..",".."
"25 to 44","46.8","30.7","63.6","f","..","..","f","..","..","f","..",".."
"45 and older","51.0","32.0","69.7","f","..","..","f","..","..","f","..",".."
"female","60.3","46.5","72.7","f","..","..","12.5","6.7","22.1","10.6","5.7","18.9"
"age group","","","","","","","","","","","",""
"15 to 24","55.1","31.1","76.9","","..","..","f","..","..","f","..",".."
"25 to 44","40.7","20.2","65.0","f","..","..","f","..","..","f","..",".."
"45 and older","78.7","60.3","90.0","f","..","..","f","..","..","f","..",".."
