"club","season","league","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"manchester city","2003-04","premier league","2","0","0","0","0","0","0","0","2","0"
"manchester city total","manchester city total","manchester city total","2","0","0","0","0","0","0","0","2","0"
"sunderland","2004-05","championship","42","15","2","0","2","1","0","0","46","16"
"sunderland","2005-06","premier league","15","2","0","0","1","0","0","0","16","2"
"sunderland","2006-07","championship","24","5","1","0","1","0","0","0","26","5"
"sunderland total","sunderland total","sunderland total","81","22","3","0","4","1","0","0","88","23"
"wolverhampton wanderers","2007-08","championship","29","4","2","1","0","0","0","0","31","5"
"wolverhampton wanderers","2008-09","championship","0","0","0","0","1","0","0","0","1","0"
"wolverhampton wanderers total","wolverhampton wanderers total","wolverhampton wanderers total","29","4","2","1","1","0","0","0","32","5"
"preston north end","2008-09","championship","37","6","1","0","0","0","1","0","39","6"
"preston north end","2009-10","championship","9","1","1","0","3","1","0","0","13","2"
"norwich city","2009-10","league one","10","2","0","0","0","0","0","0","10","2"
"preston north end total","preston north end total","preston north end total","46","7","2","0","3","1","1","0","52","8"
"heart of midlothian","2010-11","scottish premier league","30","8","1","0","0","0","0","0","31","8"
"heart of midlothian","2011-12","scottish premier league","26","3","5","0","0","0","3","0","34","3"
"heart of midlothian total","heart of midlothian total","heart of midlothian total","56","11","6","0","0","0","3","0","65","11"
"coventry city","2012-13","league one","18","4","0","0","3","0","4","0","25","4"
"coventry city total","coventry city total","coventry city total","18","4","0","0","3","0","4","0","25","4"
"carlisle united","2014-15","league two","15","1","0","0","1","0","2","0","18","1"
"carlisle united total","carlisle united total","carlisle united total","15","1","0","0","1","0","2","0","18","1"
"shelbourne","2016","league of ireland first division","6","0","0","0","1","0","0","0","7","0"
"shelbourne total","shelbourne total","shelbourne total","6","0","0","0","1","0","0","0","7","0"
"drogheda united","2017","league of ireland premier division","19","2","0","0","1","0","1","0","21","2"
"drogheda united total","drogheda united total","drogheda united total","19","2","0","0","1","0","1","0","21","2"
"morpeth town","2017-18","northern football league division one","0","0","0","0","0","0","0","0","0","0"
"morpeth town total","morpeth town total","morpeth town total","0","0","0","0","0","0","0","0","0","0"
"career total","career total","career total","282","53","13","1","14","2","11","0","321","56"
