"","daily","daily","several times a month or several times a week","several times a month or several times a week","rarely or never","rarely or never"
"","2003","2013","2003","2013","2003","2013"
"","percentage","percentage","percentage","percentage","percentage","percentage"
"total","68","60","25","27","7","13"
"men","72","63","23","25","6","12"
"women","65","57","27","30","8","14"
"age group","","","","","",""
"15 to 34 years","48","37","41","42","11","21"
"35 to 54 years","73","60","22","28","6","12"
"55 years and older","88","81","8","13","4","6"
"province of residence","","","","","",""
"newfoundland and labrador","70","61","25","25","6","14"
"prince edward island","67","61","23","24","11","15"
"nova scotia","65","62","26","24","9","14"
"new brunswick","64","56","26","26","10","18"
"quebec","72","63","22","25","6","12"
"ontario","69","61","25","27","7","12"
"manitoba","64","55","27","28","9","17"
"saskatchewan","63","56","29","30","8","14"
"alberta","65","53","27","32","7","15"
"british columbia","66","58","27","31","7","11"
"level of education","","","","","",""
"less than a high school diploma","61","49","26","26","13","25"
"high school diploma","64","52","28","31","7","17"
"postsecondary diploma or certificate","67","54","27","32","6","14"
"university degree","75","60","22","31","3","9"
"level of education","","","","","",""
"less than a high school diploma","84","79","10","12","6","10"
"high school diploma","90","81","8","13","3","7"
"postsecondary diploma or certificate","89","81","9","14","2","5"
"university degree","93","84","6","13","2","3"
