"","geography","geography","geography","geography","geography"
"","standard","standard","hexagon","hexagon","forward sortation area"
"","economic region","census division","225-km sides","75-km sides","forward sortation area"
"distance","","","","",""
"coefficient","-0.551","-0.573","-0.820","-0.742","-0.426"
"standard error","0.0461","0.0278","0.0620","0.0357","0.0146"
"own-region","","","","",""
"coefficient","0.408","0.467","-0.101","-0.0215","1.052"
"standard error","0.1380","0.1210","0.1270","0.1170","0.0966"
"own-province","","","","",""
"coefficient","0.743","0.679","0.472","0.483","0.909"
"standard error","0.0951","0.0633","0.0872","0.0783","0.0421"
"constant","","","","",""
"coefficient","6.981","7.094","3.142","2.540","2.015"
"standard error","0.4900","0.3590","0.7760","0.4770","0.3830"
"border effect","2.10","1.97","1.60","1.62","2.48"
"number of observations","5,329","77,274","8,619","132,862","2,574,640"
