"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"atletico madrid","2005-06","la liga","4","0","2","0","-","-","0","0","6","0"
"atletico madrid","total","total","4","0","2","0","-","-","0","0","6","0"
"valladolid","2006-07","segunda division","23","3","7","1","-","-","0","0","30","4"
"valladolid","total","total","23","3","7","1","-","-","0","0","30","4"
"celta","2007-08","segunda division","26","2","1","0","-","-","0","0","27","2"
"celta","total","total","26","2","1","0","-","-","0","0","27","2"
"mallorca","2008-09","la liga","26","0","6","0","-","-","0","0","32","0"
"mallorca","2009-10","la liga","34","5","4","1","-","-","0","0","38","6"
"mallorca","total","total","60","5","10","1","-","-","0","0","70","6"
"atletico madrid","2010-11","la liga","27","2","4","0","-","-","4","0","35","2"
"atletico madrid","2011-12","la liga","28","0","0","0","-","-","14","0","42","0"
"atletico madrid","2012-13","la liga","29","1","8","0","-","-","6","0","43","1"
"atletico madrid","2013-14","la liga","17","0","2","0","-","-","5","0","24","0"
"atletico madrid","2014-15","la liga","20","1","7","0","-","-","8","1","35","2"
"atletico madrid","total","total","121","4","21","0","-","-","37","1","179","5"
"fiorentina","2015-16","serie a","9","1","0","0","-","-","4","0","13","1"
"fiorentina","total","total","9","1","0","0","-","-","4","0","13","1"
"watford","2015-16","premier league","15","0","2","0","0","0","0","0","17","0"
"valencia","2016-17","la liga","21","3","0","0","-","-","0","0","21","3"
"guizhou hengfeng","2017","chinese super league","12","0","0","0","-","-","12","0","none","none"
"guizhou hengfeng","2018","chinese super league","17","2","1","0","-","-","18","2","none","none"
"guizhou hengfeng","total","total","29","2","1","0","-","-","30","2","none","none"
"career total","career total","career total","308","20","44","2","0","0","41","1","393","23"
