"","sample size","distribution","predicted rate"
"","thousands","percent","rate"
"overall","2,085","100.0","12.3"
"gender","","",""
"male","951","45.6","11.4"
"female","1,134","54.4","13.1"
"age","","",""
"25 to 34","393","18.8","6.9"
"35 to 44","666","31.9","10.5"
"45 to 54","578","27.7","12.6"
"55 to 64","262","12.6","15.4"
"65 and older","186","8.9","24.9"
"family type","","",""
"unattached","258","12.4","21.9"
"attached, no child","404","19.4","10.0"
"attached, have a child or children","1,286","61.7","10.0"
"lone parent","138","6.6","21.5"
"official language at landing","","",""
"english","1,097","52.6","11.7"
"french","98","4.7","11.4"
"both","131","6.3","9.4"
"none","758","36.4","13.6"
"education level at landing","","",""
"secondary or less","940","45.1","13.2"
"trade, some postsecondary","443","21.3","11.6"
"university","505","24.2","11.5"
"postgraduate","196","9.4","11.8"
"immigrant class","","",""
"provincial nominee program","29","1.4","10.0"
"other economic class","985","47.2","11.5"
"family","713","34.2","13.6"
"refugee","293","14.0","12.4"
"other class","65","3.1","11.4"
"place of birth","","",""
"northwestern europe","89","4.3","6.1"
"southeastern europe","280","13.4","8.7"
"africa","184","8.8","14.3"
"east asia","174","8.3","18.5"
"south asia","186","8.9","18.9"
"southeast asia","63","3.0","10.3"
"other asia","161","7.7","19.6"
"china","278","13.3","14.5"
"india","253","12.1","10.0"
"philippines","159","7.6","4.6"
"oceania","6","0.3","6.0"
"caribbean, central and south america","210","10.1","8.3"
"oceania, other","11","0.5","8.0"
"united states","30","1.5","5.9"
"year since immigration","","",""
"5 to 10 years","807","38.7","15.8"
"11 to 15 years","603","28.9","12.0"
"16 to 20 years","675","32.4","9.5"
