"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"all boys","2014","primera b nacional","13","1","0","0","-","-","0","0","13","1"
"all boys","2015","primera b nacional","8","1","1","0","-","-","0","0","9","1"
"all boys","2016","primera b nacional","15","1","0","0","-","-","0","0","15","1"
"all boys","2016-17","primera b nacional","33","5","1","0","-","-","0","0","34","5"
"all boys","2017-18","primera b nacional","4","0","0","0","-","-","0","0","4","0"
"all boys","total","total","73","8","2","0","-","-","0","0","75","8"
"correcaminos uat","2017-18","ascenso mx","5","0","2","0","-","-","0","0","7","0"
"deportivo pasto","2018","categoria primera a","9","1","0","0","-","-","0","0","9","1"
"career total","career total","career total","87","9","4","0","-","-","0","0","91","9"
