"province or territory","total cannabis","total cannabis","total cannabis","cannabis - controlled drugs and substances act","cannabis - controlled drugs and substances act","cannabis - controlled drugs and substances act","cannabis - cannabis act","cannabis - cannabis act","cannabis - cannabis act","cocaine","cocaine","cocaine"
"province or territory","number","rate","percent change in rate 2017 to 2018","number","rate","percent change in rate 2017 to 2018","number","rate","percent change in rate 2017 to 2018","number","rate","percent change in rate 2017 to 2018"
"newfoundland and labrador","443","84","-28","425","81","-30","18","3","..","229","44","21"
"prince edward island","107","70","-28","105","69","-29","2","1","..","45","29","58"
"nova scotia","1,071","112","-39","1,027","107","-41","44","5","..","524","55","5"
"new brunswick","813","105","-28","788","102","-30","25","3","..","224","29","19"
"quebec","11,009","131","-28","10,419","124","-32","590","7","..","2,600","31","12"
"ontario","10,092","70","-26","9,700","68","-29","392","3","..","4,035","28","-4"
"manitoba","692","51","-39","660","49","-42","32","2","..","881","65","12"
"saskatchewan","930","80","-35","899","77","-37","31","3","..","685","59","-9"
"alberta","2,738","64","-38","2,682","62","-39","56","1","..","2,185","51","-6"
"british columbia","7,727","155","-26","7,484","150","-28","243","5","..","2,697","54","1"
"yukon","54","133","-32","51","126","-36","3","7","..","90","222","-11"
"northwest territories","124","278","-39","114","256","-44","10","22","..","128","287","-14"
"nunavut","95","247","-29","87","227","-35","8","21","..","2","5",".."
"canada","35,895","97","-29","34,441","93","-32","1,454","4","..","14,325","39","1"
