"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"sheffield united","1992-93","premier league","2","1","-","-","2","1","none","none","none","none"
"sheffield united","1993-94","premier league","15","1","0","0","1","0","-","-","16","1"
"sheffield united","1994-95","first division","37","4","1","0","2","1","-","-","40","5"
"sheffield united","1996-97","first division","8","1","1","0","0","0","0","0","9","1"
"sheffield united","1997-98","first division","6","0","0","0","2","0","-","-","8","0"
"sheffield united","total","total","75","6","3","0","5","2","4","3","87","11"
"chesterfield","1996-97","second division","5","3","-","-","5","3","none","none","none","none"
"bury","1996-97","second division","8","0","-","-","8","0","none","none","none","none"
"brentford","1997-98","second division","26","5","0","0","-","-","1","0","27","5"
"brentford","1998-99","third division","34","7","0","0","4","2","2","2","40","11"
"brentford","1999-00","second division","36","3","2","0","2","0","2","1","42","4"
"brentford","2000-01","second division","22","13","1","0","3","2","1","0","27","13"
"brentford","total","total","125","30","3","0","9","4","6","3","143","37"
"oxford united","2000-01","second division","21","7","-","-","21","7","none","none","none","none"
"oxford united","2001-02","third division","30","8","0","0","1","1","0","0","31","9"
"oxford united","2002-03","third division","38","11","1","0","2","0","0","0","41","11"
"oxford united","2003-04","third division","6","0","0","0","1","0","0","0","7","0"
"oxford united","total","total","95","24","1","0","4","1","0","0","100","25"
"leyton orient","2003-04","third division","8","1","-","-","8","1","none","none","none","none"
"leyton orient","2004-05","league two","39","9","2","0","1","0","3","0","45","9"
"leyton orient","total","total","47","10","2","0","1","0","3","0","53","10"
"career total","career total","career total","355","73","9","0","19","0","13","6","396","79"
