"club","season","league","league","cup","cup","league cup","league cup","continental","continental","other1","other1","total","total"
"club","season","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"juventus-sp","1999","-","-","18","1","18","1","none","none","none","none","none","none"
"cruzeiro","2000","3","0","0","0","-","-","0","0","0","0","3","0"
"cruzeiro","2001","20","1","-","-","10","2","4","0","34","3","none","none"
"cruzeiro","2002","24","6","5","0","-","-","8","2","37","8","none","none"
"cruzeiro","2003","15","0","5","1","-","-","0","0","11","1","31","2"
"total","total","62","7","10","1","-","-","10","2","23","3","105","13"
"benfica","2003-04","15","3","3","1","-","-","4","0","-","-","22","4"
"benfica","2004-05","29","2","2","0","-","-","9","0","1","0","41","2"
"benfica","2005-06","31","1","3","0","-","-","10","1","1","0","45","2"
"benfica","2006-07","17","2","2","0","-","-","10","0","-","-","29","2"
"benfica","2007-08","19","3","4","1","3","0","9","0","-","-","35","4"
"benfica","2008-09","21","2","3","1","5","0","4","1","-","-","33","4"
"benfica","2009-10","28","4","0","0","5","1","12","1","-","-","45","6"
"benfica","2010-11","23","1","6","2","2","0","14","3","1","0","46","6"
"benfica","2011-12","25","1","2","0","2","0","12","1","-","-","41","2"
"benfica","2012-13","18","1","5","0","1","0","9","0","-","-","33","1"
"benfica","2013-14","28","1","5","1","1","1","15","3","-","-","49","6"
"benfica","2014-15","30","4","1","0","2","0","5","0","1","0","39","4"
"benfica","2015-16","9","0","2","0","2","0","4","1","0","0","17","1"
"benfica","2016-17","28","0","3","1","1","0","6","0","1","0","39","1"
"benfica","2017-18","16","1","3","1","0","0","4","0","1","0","24","2"
"benfica","2018-19","0","0","0","0","0","0","0","0","-","-","0","0"
"total","total","337","26","44","8","24","2","127","11","6","0","538","47"
"career total","career total","399","33","54","9","24","2","137","13","47","4","661","61"
"1"other" includes campeonato paulista serie a2, campeonato mineiro, copa dos campeoes, copa sul-minas and supertaca candido de oliveira","1"other" includes campeonato paulista serie a2, campeonato mineiro, copa dos campeoes, copa sul-minas and supertaca candido de oliveira","1"other" includes campeonato paulista serie a2, campeonato mineiro, copa dos campeoes, copa sul-minas and supertaca candido de oliveira","1"other" includes campeonato paulista serie a2, campeonato mineiro, copa dos campeoes, copa sul-minas and supertaca candido de oliveira","1"other" includes campeonato paulista serie a2, campeonato mineiro, copa dos campeoes, copa sul-minas and supertaca candido de oliveira","1"other" includes campeonato paulista serie a2, campeonato mineiro, copa dos campeoes, copa sul-minas and supertaca candido de oliveira","1"other" includes campeonato paulista serie a2, campeonato mineiro, copa dos campeoes, copa sul-minas and supertaca candido de oliveira","1"other" includes campeonato paulista serie a2, campeonato mineiro, copa dos campeoes, copa sul-minas and supertaca candido de oliveira","1"other" includes campeonato paulista serie a2, campeonato mineiro, copa dos campeoes, copa sul-minas and supertaca candido de oliveira","1"other" includes campeonato paulista serie a2, campeonato mineiro, copa dos campeoes, copa sul-minas and supertaca candido de oliveira","1"other" includes campeonato paulista serie a2, campeonato mineiro, copa dos campeoes, copa sul-minas and supertaca candido de oliveira","1"other" includes campeonato paulista serie a2, campeonato mineiro, copa dos campeoes, copa sul-minas and supertaca candido de oliveira","1"other" includes campeonato paulista serie a2, campeonato mineiro, copa dos campeoes, copa sul-minas and supertaca candido de oliveira","1"other" includes campeonato paulista serie a2, campeonato mineiro, copa dos campeoes, copa sul-minas and supertaca candido de oliveira"
