"athlete","event","heat","heat","semifinal","semifinal","final","final"
"athlete","event","result","rank","result","rank","result","rank"
"mohamed aissaoui","800 m t46","n/a","n/a","n/a","n/a","2:00.79","6"
"mohamed aissaoui","1500 m t46","n/a","n/a","n/a","n/a","4:06.85","4"
"mohamed aissaoui","5000 m t46","n/a","n/a","n/a","n/a","16:17.71","8"
"mohamed allek","100 m t37","n/a","n/a","12.21","1q","11.99 pr",""
"mohamed allek","200 m t37","n/a","n/a","24.84","1q","24.39",""
"mohamed allek","400 m t37","n/a","n/a","57.11","2q","54.66 wr",""
"omar benchiheb","1500 m t11","n/a","n/a","4:28.49","6q","4:27.33","5"
"omar benchiheb","5000 m t11","n/a","n/a","n/a","n/a","dnf","dnf"
"omar benchiheb","10000 m t11","n/a","n/a","n/a","n/a","36:55.90","4"
"rezki reguig","800 m t38","n/a","n/a","2:15.19","9","did not advanced","did not advanced"
"rezki reguig","1500 m t37","n/a","n/a","n/a","n/a","4:43.21","6"
"rezki reguig","5000 m t38","n/a","n/a","n/a","n/a","dnf","dnf"
"bachir zergoune","800 m t46","n/a","n/a","n/a","n/a","2:06.06","8"
"bachir zergoune","1500 m t46","n/a","n/a","n/a","n/a","4:24.61","8"
"bachir zergoune","5000 m t46","n/a","n/a","n/a","n/a","17:27.13","10"
