"province or territory","total crime - "crime rate"","total crime - "crime rate"","violent crime","violent crime","property crime","property crime","other criminal code offences","other criminal code offences"
"province or territory","indigenous","non-indigenous","indigenous","non-indigenous","indigenous","non-indigenous","indigenous","non-indigenous"
"province or territory","rate","rate","rate","rate","rate","rate","rate","rate"
"newfoundland and labrador","42,407","4,993","8,996","1,228","23,407","2,664","10,004","1,102"
"prince edward island","..","4,678","..","1,005","..","2,967","..","706"
"nova scotia","21,058","4,981","5,433","1,243","10,458","2,819","5,167","919"
"new brunswick","24,174","5,226","8,766","1,296","10,013","3,012","5,394","918"
"quebec","21,138","3,167","13,279","983","3,722","1,759","4,137","425"
"ontario","16,593","4,054","6,049","874","6,793","2,602","3,751","578"
"manitoba","29,892","8,026","9,825","1,475","12,166","5,151","7,900","1,400"
"saskatchewan","50,258","9,578","11,540","1,502","25,134","5,539","13,584","2,537"
"alberta","34,359","8,281","7,921","1,238","16,918","5,285","9,520","1,758"
"british columbia","10,534","7,378","3,202","1,150","4,177","4,775","3,156","1,453"
"yukon","43,028","17,795","10,355","3,356","19,822","8,700","12,850","5,739"
"northwest territories","56,844","27,792","13,265","4,086","27,824","13,788","15,755","9,917"
"nunavut","38,119","..","8,722","..","16,473","..","12,923",".."
"canada","30,333","5,191","9,220","1,047","13,029","3,223","8,084","921"
