"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"west bromwich albion","1980-81","first division","2","1","0","0","0","0","2","1"
"west bromwich albion","1981-82","first division","22","2","2","0","3","1","27","3"
"west bromwich albion","1982-83","first division","32","4","1","0","1","1","34","5"
"west bromwich albion","1983-84","first division","25","3","1","0","3","0","29","3"
"west bromwich albion","1984-85","first division","24","5","1","1","2","1","27","7"
"west bromwich albion","total","total","105","15","5","1","9","3","129","19"
"walsall","1985-86","third division","44","21","4","1","5","2","53","24"
"walsall","1986-87","third division","39","16","7","2","5","0","51","18"
"walsall","1987-88","third division","26","8","2","0","7","1","35","9"
"walsall","total","total","109","45","13","3","17","3","139","51"
"leicester city","1987-88","second division","17","6","0","0","0","0","17","6"
"leicester city","1988-89","second division","41","9","1","0","6","1","48","10"
"leicester city","total","total","58","15","1","0","6","1","65","16"
"port vale","1989-90","second division","42","13","3","1","5","1","50","15"
"port vale","1990-91","second division","19","2","0","0","3","0","22","2"
"port vale","1991-92","second division","8","0","0","0","0","0","8","0"
"port vale","1992-93","second division","38","12","4","0","6","0","48","12"
"port vale","1993-94","second division","37","12","5","0","5","1","47","13"
"port vale","total","total","144","39","12","1","19","2","175","42"
"hereford united","1994-95","third division","28","6","2","0","6","1","36","7"
"hereford united","1995-96","third division","37","8","4","1","8","2","49","11"
"hereford united","total","total","65","14","6","1","14","3","85","18"
"career total","career total","career total","481","128","37","6","65","12","583","146"
