"selected characteristics of members","total sexualized or discriminatory behaviours","total sexualized or discriminatory behaviours","sexualized behaviours","sexualized behaviours","sexualized behaviours","sexualized behaviours","discriminatory behaviours","discriminatory behaviours","discriminatory behaviours"
"selected characteristics of members","total sexualized or discriminatory behaviours","total sexualized or discriminatory behaviours","total sexualized behaviours","inappropriate verbal or non-verbal communication","sexually explicit materials","physical contact or suggested sexual relations","total discriminatory behaviours","discrimination on the basis of sex","discrimination on the basis of sexual orientation or gender identity"
"selected characteristics of members","number","percent","percent","percent","percent","percent","percent","percent","percent"
"class of service","","","","","","","","",""
"class a only","4,380","64","62","61","8.5","9.7","21","20","5.3"
"class b/c only","4,860","72","71","70","10","14","30","29","7.5"
"mixed","10,150","74","73","72","14","19","32","31","7.1"
"environmental command","","","","","","","","",""
"canadian army","14,050","72","71","69","13","16","29","28","6.6"
"royal canadian navy","2,460","75","73","71","9.1","22","36","35","8.1"
"royal canadian air force","1,200","59","58","56","5.7","7.4","19","17","4.3"
"military personnel command","1,350","73","72","71","6.5","13","30","29","7.8"
"other","480","67","65","64","6.0","10","25","22","6.8"
"gender","","","","","","","","",""
"women","3,430","78","76","75","14","28","43","41","11"
"men","15,990","70","69","67","11","13","26","25","5.8"
"gender diverse","f","f","f","f","f","f","f","f","f"
"indigenous identity","","","","","","","","",""
"indigenous (first nations, metis, inuit) person","780","72","70","68","15","20","38","34","11"
"non-indigenous person","18,730","71","70","69","11","15","28","27","6.6"
"persons with disabilities","","","","","","","","",""
"persons with disabilities","540","73","69","66","16","20","40","38","13"
"persons without disabilities","18,970","71","70","69","11","15","29","27","6.6"
"visible minority","","","","","","","","",""
"visible minority","2,800","69","67","66","11","19","30","29","7.2"
"non-visible minority","16,720","72","70","69","12","15","29","27","6.6"
"rank","","","","","","","","",""
"junior non-commissioned member","13,250","72","71","70","13","18","31","29","7.3"
"senior non-commissioned member","3,070","71","70","69","9.8","10","24","24","5.8"
"junior officer","2,370","71","69","68","8.7","13","29","28","5.9"
"senior officer","870","60","57","55","4.5","6.3","21","20","4.8"
"age group","","","","","","","","",""
"24 years and younger","6,850","73","71","70","13","21","31","30","6.8"
"25 to 29 years","4,030","76","75","75","15","18","34","33","7.9"
"30 to 34 years","2,730","78","77","76","14","15","33","33","8.6"
"35 to 39 years","1,730","72","71","70","10","13","27","26","6.0"
"40 to 44 years","1,100","64","62","62","7.9","8.9","22","21","5.3"
"45 to 49 years","1,180","64","62","60","7.6","8.5","21","20","4.5"
"50 years and older","1,950","59","57","56","4.7","5.7","19","17","5.2"
"total","19,570","71","70","69","11","16","29","28","6.7"
