"industry, naics code, and company size","domestic net sales (us$millions)a","r&d intensity (%)b","domestic employment (thousands)c","domestic employment (thousands)c"
"industry, naics code, and company size","domestic net sales (us$millions)a","r&d intensity (%)b","total","r&dd"
"all industries, 21-33, 42-81","9682692","4.1","19893","1609"
"manufacturing industries, 31-33","5423997","4.7","9919","916"
"chemicals, 325","901859","8.3","1234","174"
"pharmaceuticals and medicines, 3254","466391","14.2","518","127"
"other 325","435468","2","716","47"
"machinery, 333","323082","4.1","839","85"
"computer and electronic products, 334","697118","11.3","1200","258"
"electrical equipment, appliance, and components, 335","113434","3.8","291","29"
"transportation equipment, 336","1173095","4.5","1771","172"
"automobiles, bodies, trailers, and parts, 3361-63","756472","3.2","852","92"
"aerospace products and parts, 3364","350201","7.5","710","67"
"other 336","66422","4.6","209","13"
"manufacturing nec, other 31-33","2215409","1.5","4584","198"
"nonmanufacturing industries, 21-23, 42-81","4258695","3.4","9974","693"
"information, 51","1192143","6.7","1945","305"
"software publishers, 5112","230197","14.9","572","134"
"other 51","961946","4.8","1373","171"
"finance and insurance, 52","736468","1","1211","36"
"professional, scientific, and technical services, 54","400375","9.2","1330","235"
"computer systems design and related services, 5415","152271","8.8","456","78"
"scientific r&d services, 5417","69134","25.1","283","86"
"other 54","178970","3.5","591","71"
"nonmanufacturing nec, other 21-23, 42-81","1929709","0.9","5488","117"
"size of company","","","",""
"small companiese","","","",""
"10-19","24126","13.7","73","26"
"20-49","86131","11","285","78"
"medium companies","","","",""
"50-99","116967","8.7","366","74"
"100-249","258031","6.7","669","111"
"large companies","","","",""
"250-499","280138","5","686","87"
"500-999","368694","4.8","849","90"
"1,000-4,999","1249905","5.2","2668","275"
"5,000-9,999","939230","4.3","1710","185"
"10,000-24,999","1851278","4","3007","248"
"25,000 or more","4508191","3.3","9581","437"
