"industry","mnes' share of assets","type","assets"
"industry","%","type","$ millions"
"construction","18.6","mnes","3.80"
"construction","18.6","domestic enterprises","0.13"
"distributive trade","60.8","mnes","6.90"
"distributive trade","60.8","domestic enterprises","0.22"
"extraction","85.2","mnes","14.40"
"extraction","85.2","domestic enterprises","0.16"
"finance","72.8","mnes","3.41"
"finance","72.8","domestic enterprises","0.57"
"manufacturing","86.5","mnes","19.52"
"manufacturing","86.5","domestic enterprises","0.24"
"real estate","33.0","mnes","3.27"
"real estate","33.0","domestic enterprises","0.54"
"transportation and warehousing","62.3","mnes","6.43"
"transportation and warehousing","62.3","domestic enterprises","0.05"
"utilities","53.2","mnes","17.34"
"utilities","53.2","domestic enterprises","0.29"
